,Benchmarking,Account,Portfolio,Quotes,System Configuration
ActionDecoder,0.0,0.3645833333333333,0.010638297872340425,0.4631578947368421,0.0
KeyBlockIterator,0.0,0.06770833333333333,0.2553191489361702,0.0,0.2
ExternalContextProducer,0.0,0.0,0.0,0.0,0.0
holdingejb(table),0.0,0.20833333333333334,0.3723404255319149,0.0,0.8
Number,0.08108108108108109,0.0,0.0,0.0,0.0
StringTokenizer,0.0,0.0,0.0,0.0,0.0
ProxyMethodHandler,0.08108108108108109,0.0,0.0,0.0,0.0
Util,0.0,0.25,0.2553191489361702,0.25263157894736843,0.0
Thread,0.05405405405405406,0.0,0.14893617021276595,0.0,0.0
FinancialUtils,0.0,0.4479166666666667,0.9893617021276596,0.5789473684210527,0.2
OutputStream,0.0,0.25,0.2553191489361702,0.25263157894736843,0.0
BufferedInputStream,0.02702702702702703,0.0,0.0,0.0,0.0
account(jsp),0.0,0.125,0.0,0.0,0.0
UserTransaction,0.0,0.0,0.2553191489361702,0.0,0.0
welcome(jsp),0.0,0.203125,0.0,0.0,0.2
TradeServices,0.02702702702702703,0.9895833333333334,0.9893617021276596,1.0,0.4
PingSession3,0.02702702702702703,0.0,0.0,0.0,0.0
EJSLocalNSGMarketSummarySingleton_a06afdef,0.05405405405405406,0.14583333333333334,0.0,0.18947368421052632,0.0
_EJSRemote0SLTradeSLSBBean_78e9c356_Tie,0.0,0.25,0.2553191489361702,0.25263157894736843,0.0
config(jsp),0.0,0.005208333333333333,0.0,0.0,0.6
Date,0.5675675675675675,0.2708333333333333,0.0,0.4105263157894737,0.0
Random,0.21621621621621623,0.0,0.5106382978723404,0.0,0.2
